project,test-fqn,function-fqn
commons-lang,"org.apache.commons.lang3.math.NumberUtilsTest.testIsDigits()","org.apache.commons.lang3.math.NumberUtils.isDigits(java.lang.String)"
commons-lang,"org.apache.commons.lang3.builder.EqualsBuilderTest.testObjectRecursiveCycleSelfreference()","org.apache.commons.lang3.builder.EqualsBuilder.isEquals()"
commons-lang,"org.apache.commons.lang3.builder.ToStringBuilderTest.testFloatArray()","org.apache.commons.lang3.builder.ToStringBuilder.append(float[])"
commons-lang,"org.apache.commons.lang3.builder.ToStringBuilderTest.testFloatArray()","org.apache.commons.lang3.builder.ToStringBuilder.toString()"
commons-lang,"org.apache.commons.lang3.text.StrSubstitutorTest.testStaticReplacePrefixSuffix()","org.apache.commons.lang3.text.StrSubstitutor.replace(java.lang.Object, java.util.Map<java.lang.String, V>, java.lang.String, java.lang.String)"
commons-lang,"org.apache.commons.lang3.ArrayUtilsRemoveMultipleTest.testRemoveAllNullObjectArray()","org.apache.commons.lang3.ArrayUtils.remove(T[], int)"
commons-lang,"org.apache.commons.lang3.time.FastDateParserTest.testDayNumberOfWeek()","org.apache.commons.lang3.time.FastDateParser.parse(java.lang.String)"
commons-lang,"org.apache.commons.lang3.time.DateUtilsTest.testLANG799_DE_FAIL()","org.apache.commons.lang3.time.DateUtils.parseDate(java.lang.String, java.lang.String[])"
commons-lang,"org.apache.commons.lang3.concurrent.EventCountCircuitBreakerTest.testChangeEvents()","org.apache.commons.lang3.concurrent.AbstractCircuitBreaker.addChangeListener(java.beans.PropertyChangeListener)"
commons-lang,"org.apache.commons.lang3.builder.ToStringStyleTest.testSetSizeStartText()","org.apache.commons.lang3.builder.ToStringStyle.setSizeStartText(java.lang.String)"
commons-lang,"org.apache.commons.lang3.text.StrLookupTest.testMapLookup_nullMap()","org.apache.commons.lang3.text.StrLookup.MapStrLookup.lookup(java.lang.String)"
commons-lang,"org.apache.commons.lang3.text.StrLookupTest.testMapLookup_nullMap()","org.apache.commons.lang3.text.StrLookup.mapLookup(java.util.Map<java.lang.String, V>)"
commons-lang,"org.apache.commons.lang3.mutable.MutableIntTest.testIncrement()","org.apache.commons.lang3.mutable.MutableInt.increment()"
commons-lang,"org.apache.commons.lang3.mutable.MutableIntTest.testIncrement()","org.apache.commons.lang3.mutable.MutableInt.intValue()"
commons-lang,"org.apache.commons.lang3.mutable.MutableIntTest.testIncrement()","org.apache.commons.lang3.mutable.MutableInt.longValue()"
commons-lang,"org.apache.commons.lang3.concurrent.MultiBackgroundInitializerTest.testInitializeResultsIsSuccessfulFalse()","org.apache.commons.lang3.concurrent.BackgroundInitializer.get()"
commons-lang,"org.apache.commons.lang3.concurrent.MultiBackgroundInitializerTest.testInitializeResultsIsSuccessfulFalse()","org.apache.commons.lang3.concurrent.BackgroundInitializer.start()"
commons-lang,"org.apache.commons.lang3.concurrent.MultiBackgroundInitializerTest.testInitializeResultsIsSuccessfulFalse()","org.apache.commons.lang3.concurrent.MultiBackgroundInitializer.addInitializer(java.lang.String, org.apache.commons.lang3.concurrent.BackgroundInitializer<?>)"
commons-lang,"org.apache.commons.lang3.RandomStringUtilsTest.testRandomStringUtils()","org.apache.commons.lang3.RandomStringUtils.random(int)"
commons-lang,"org.apache.commons.lang3.RandomStringUtilsTest.testRandomStringUtils()","org.apache.commons.lang3.RandomStringUtils.random(int, char[])"
commons-lang,"org.apache.commons.lang3.RandomStringUtilsTest.testRandomStringUtils()","org.apache.commons.lang3.RandomStringUtils.random(int, int, int, boolean, boolean, char[], java.util.Random)"
commons-lang,"org.apache.commons.lang3.RandomStringUtilsTest.testRandomStringUtils()","org.apache.commons.lang3.RandomStringUtils.random(int, java.lang.String)"
commons-lang,"org.apache.commons.lang3.RandomStringUtilsTest.testRandomStringUtils()","org.apache.commons.lang3.RandomStringUtils.randomAlphabetic(int)"
commons-lang,"org.apache.commons.lang3.RandomStringUtilsTest.testRandomStringUtils()","org.apache.commons.lang3.RandomStringUtils.randomAlphanumeric(int)"
commons-lang,"org.apache.commons.lang3.RandomStringUtilsTest.testRandomStringUtils()","org.apache.commons.lang3.RandomStringUtils.randomAscii(int)"
commons-lang,"org.apache.commons.lang3.RandomStringUtilsTest.testRandomStringUtils()","org.apache.commons.lang3.RandomStringUtils.randomGraph(int)"
commons-lang,"org.apache.commons.lang3.RandomStringUtilsTest.testRandomStringUtils()","org.apache.commons.lang3.RandomStringUtils.randomNumeric(int)"
commons-lang,"org.apache.commons.lang3.RandomStringUtilsTest.testRandomStringUtils()","org.apache.commons.lang3.RandomStringUtils.randomPrint(int)"
commons-lang,"org.apache.commons.lang3.time.FastTimeZoneTest.testUTC()","org.apache.commons.lang3.time.FastTimeZone.getGmtTimeZone()"
commons-lang,"org.apache.commons.lang3.time.FastTimeZoneTest.testUTC()","org.apache.commons.lang3.time.FastTimeZone.getTimeZone(java.lang.String)"
commons-lang,"org.apache.commons.lang3.text.StrBuilderTest.testLang295()","org.apache.commons.lang3.text.StrBuilder.<init>(java.lang.String)"
commons-lang,"org.apache.commons.lang3.text.StrBuilderTest.testLang295()","org.apache.commons.lang3.text.StrBuilder.contains(char)"
commons-lang,"org.apache.commons.lang3.text.StrBuilderTest.testLang295()","org.apache.commons.lang3.text.StrBuilder.deleteFirst(java.lang.String)"
commons-lang,"org.apache.commons.lang3.text.StrBuilderTest.testLang295()","org.apache.commons.lang3.text.StrBuilder.indexOf(char)"
commons-lang,"org.apache.commons.lang3.ArrayUtilsTest.testIsNotEmptyPrimitives()","org.apache.commons.lang3.ArrayUtils.isNotEmpty(boolean[])"
commons-lang,"org.apache.commons.lang3.ArrayUtilsTest.testIsNotEmptyPrimitives()","org.apache.commons.lang3.ArrayUtils.isNotEmpty(byte[])"
commons-lang,"org.apache.commons.lang3.ArrayUtilsTest.testIsNotEmptyPrimitives()","org.apache.commons.lang3.ArrayUtils.isNotEmpty(char[])"
commons-lang,"org.apache.commons.lang3.ArrayUtilsTest.testIsNotEmptyPrimitives()","org.apache.commons.lang3.ArrayUtils.isNotEmpty(double[])"
commons-lang,"org.apache.commons.lang3.ArrayUtilsTest.testIsNotEmptyPrimitives()","org.apache.commons.lang3.ArrayUtils.isNotEmpty(float[])"
commons-lang,"org.apache.commons.lang3.ArrayUtilsTest.testIsNotEmptyPrimitives()","org.apache.commons.lang3.ArrayUtils.isNotEmpty(int[])"
commons-lang,"org.apache.commons.lang3.ArrayUtilsTest.testIsNotEmptyPrimitives()","org.apache.commons.lang3.ArrayUtils.isNotEmpty(long[])"
commons-lang,"org.apache.commons.lang3.ArrayUtilsTest.testIsNotEmptyPrimitives()","org.apache.commons.lang3.ArrayUtils.isNotEmpty(short[])"
commons-lang,"org.apache.commons.lang3.RangeTest.testIsBeforeRange()","org.apache.commons.lang3.Range.isBeforeRange(org.apache.commons.lang3.Range<T>)"
commons-lang,"org.apache.commons.lang3.ObjectUtilsTest.testPossibleCloneOfNotCloneable()","org.apache.commons.lang3.ObjectUtils.cloneIfPossible(T)"
commons-lang,"org.apache.commons.lang3.RandomStringUtilsTest.testRandomPrintRange()","org.apache.commons.lang3.RandomStringUtils.randomPrint(int, int)"
commons-lang,"org.apache.commons.lang3.text.StrBuilderAppendInsertTest.testAppend_StringBuilder_int_int()","org.apache.commons.lang3.text.StrBuilder.append(java.lang.StringBuilder, int, int)"
commons-lang,"org.apache.commons.lang3.text.StrBuilderAppendInsertTest.testAppend_StringBuilder_int_int()","org.apache.commons.lang3.text.StrBuilder.toString()"
commons-lang,"org.apache.commons.lang3.tuple.TripleTest.testComparable2()","org.apache.commons.lang3.tuple.Triple.compareTo(org.apache.commons.lang3.tuple.Triple<L, M, R>)"
commons-lang,"org.apache.commons.lang3.tuple.ImmutablePairTest.testPairOf()","org.apache.commons.lang3.tuple.ImmutablePair.of(L, R)"
