project,test-fqn,tested-method-fqn
jfreechart,"org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo()","org.jfree.chart.JFreeChart.createBufferedImage(int, int, org.jfree.chart.ChartRenderingInfo)"
jfreechart,"org.jfree.data.xy.CategoryTableXYDatasetTest.testCloning2()","org.jfree.data.xy.CategoryTableXYDataset.clone()"
jfreechart,"org.jfree.data.statistics.StatisticsTest.testCorrelation2()","org.jfree.data.statistics.Statistics.getCorrelation(java.lang.Number[], java.lang.Number[])"
jfreechart,"org.jfree.data.category.DefaultIntervalCategoryDatasetTest.testCloning()","org.jfree.data.category.DefaultIntervalCategoryDataset.clone()"
jfreechart,"org.jfree.data.time.TimeSeriesTest.testRemoveAgedItems5()","org.jfree.data.time.TimeSeries.removeAgedItems(long, boolean)"
jfreechart,"org.jfree.data.time.TimeSeriesTest.testBug1864222()","org.jfree.data.time.TimeSeries.createCopy(org.jfree.data.time.RegularTimePeriod, org.jfree.data.time.RegularTimePeriod)"
jfreechart,"org.jfree.chart.XYBarChartTest.testSetSeriesToolTipGenerator()","org.jfree.chart.renderer.xy.AbstractXYItemRenderer.getToolTipGenerator(int, int)"
jfreechart,"org.jfree.chart.XYBarChartTest.testSetSeriesToolTipGenerator()","org.jfree.chart.renderer.xy.AbstractXYItemRenderer.setSeriesToolTipGenerator(int, org.jfree.chart.labels.XYToolTipGenerator)"
jfreechart,"org.jfree.chart.plot.MeterPlotTest.testCloning()","org.jfree.chart.plot.MeterPlot.clone()"
jfreechart,"org.jfree.chart.plot.PiePlotTest.testBug1126_c()","org.jfree.chart.plot.PiePlot.getSectionOutlineStroke(java.lang.Comparable)"
jfreechart,"org.jfree.chart.plot.PiePlotTest.testBug1126_c()","org.jfree.chart.plot.PiePlot.setSectionOutlineStroke(java.lang.Comparable, java.awt.Stroke)"
jfreechart,"org.jfree.chart.renderer.category.BoxAndWhiskerRendererTest.testGetLegendItem()","org.jfree.chart.renderer.category.BoxAndWhiskerRenderer.getLegendItem(int, int)"
jfreechart,"org.jfree.data.KeyedObjects2DTest.testRemoveColumnByIndex()","org.jfree.data.KeyedObjects2D.removeColumn(int)"
jfreechart,"org.jfree.data.KeyedObjects2DTest.testRemoveColumnByIndex()","org.jfree.data.KeyedObjects2D.setObject(java.lang.Object, java.lang.Comparable, java.lang.Comparable)"
